pattern,hihat,snare,bass
m2_bass_snare1,0,0,1
m2_bass_snare1,0,0,0
m2_bass_snare1,0,0,0
m2_bass_snare1,0,0,0
m2_bass_snare1,0,1,0
m2_bass_snare1,0,0,0
m2_bass_snare1,0,0,0
m2_bass_snare1,0,0,0
m2_bass_snare1,0,0,1
m2_bass_snare1,0,0,0
m2_bass_snare1,0,0,0
m2_bass_snare1,0,0,0
m2_bass_snare1,0,1,0
m2_bass_snare1,0,0,0
m2_bass_snare1,0,0,0
m2_bass_snare1,0,0,0
m2_bass_snare2,0,0,1
m2_bass_snare2,0,0,0
m2_bass_snare2,0,0,0
m2_bass_snare2,0,0,0
m2_bass_snare2,0,1,0
m2_bass_snare2,0,0,0
m2_bass_snare2,0,0,0
m2_bass_snare2,0,0,0
m2_bass_snare2,0,0,1
m2_bass_snare2,0,0,0
m2_bass_snare2,0,0,1
m2_bass_snare2,0,0,0
m2_bass_snare2,0,1,0
m2_bass_snare2,0,0,0
m2_bass_snare2,0,0,0
m2_bass_snare2,0,0,0
m2_bass_snare3,0,1,1
m2_bass_snare3,0,0,0
m2_bass_snare3,0,1,1
m2_bass_snare3,0,0,0
m2_bass_snare3,0,1,0
m2_bass_snare3,0,0,0
m2_bass_snare3,0,0,0
m2_bass_snare3,0,0,0
m2_bass_snare3,0,1,1
m2_bass_snare3,0,0,0
m2_bass_snare3,0,1,1
m2_bass_snare3,0,0,0
m2_bass_snare3,0,1,0
m2_bass_snare3,0,0,0
m2_bass_snare3,0,0,0
m2_bass_snare3,0,0,0
m2_bass_snare4,0,0,1
m2_bass_snare4,0,0,0
m2_bass_snare4,0,0,0
m2_bass_snare4,0,0,0
m2_bass_snare4,0,1,0
m2_bass_snare4,0,0,0
m2_bass_snare4,0,1,0
m2_bass_snare4,0,0,0
m2_bass_snare4,0,0,1
m2_bass_snare4,0,0,0
m2_bass_snare4,0,0,0
m2_bass_snare4,0,0,0
m2_bass_snare4,0,1,0
m2_bass_snare4,0,0,0
m2_bass_snare4,0,1,0
m2_bass_snare4,0,0,0
m2_bass_snare5,0,0,1
m2_bass_snare5,0,0,0
m2_bass_snare5,0,0,0
m2_bass_snare5,0,0,0
m2_bass_snare5,0,1,0
m2_bass_snare5,0,0,0
m2_bass_snare5,0,0,0
m2_bass_snare5,0,0,0
m2_bass_snare5,0,0,1
m2_bass_snare5,0,0,0
m2_bass_snare5,0,0,1
m2_bass_snare5,0,0,0
m2_bass_snare5,0,1,0
m2_bass_snare5,0,0,0
m2_bass_snare5,0,1,0
m2_bass_snare5,0,0,0
m2_bass_snare6,0,0,1
m2_bass_snare6,0,0,0
m2_bass_snare6,0,0,1
m2_bass_snare6,0,0,0
m2_bass_snare6,0,1,0
m2_bass_snare6,0,0,0
m2_bass_snare6,0,1,0
m2_bass_snare6,0,0,0
m2_bass_snare6,0,0,1
m2_bass_snare6,0,0,0
m2_bass_snare6,0,0,0
m2_bass_snare6,0,0,0
m2_bass_snare6,0,1,0
m2_bass_snare6,0,0,0
m2_bass_snare6,0,0,0
m2_bass_snare6,0,0,0
m2_bass_snare7,0,0,1
m2_bass_snare7,0,0,0
m2_bass_snare7,0,0,1
m2_bass_snare7,0,0,0
m2_bass_snare7,0,1,0
m2_bass_snare7,0,0,0
m2_bass_snare7,0,1,0
m2_bass_snare7,0,0,0
m2_bass_snare7,0,0,1
m2_bass_snare7,0,0,0
m2_bass_snare7,0,0,1
m2_bass_snare7,0,0,0
m2_bass_snare7,0,1,0
m2_bass_snare7,0,0,0
m2_bass_snare7,0,1,0
m2_bass_snare7,0,0,0
m2_bass_snare8,0,0,1
m2_bass_snare8,0,0,0
m2_bass_snare8,0,0,0
m2_bass_snare8,0,0,0
m2_bass_snare8,0,1,0
m2_bass_snare8,0,0,0
m2_bass_snare8,0,0,1
m2_bass_snare8,0,0,0
m2_bass_snare8,0,0,0
m2_bass_snare8,0,0,0
m2_bass_snare8,0,0,1
m2_bass_snare8,0,0,0
m2_bass_snare8,0,1,0
m2_bass_snare8,0,0,0
m2_bass_snare8,0,0,0
m2_bass_snare8,0,0,0
m2_bass_snare9,0,0,1
m2_bass_snare9,0,0,0
m2_bass_snare9,0,0,1
m2_bass_snare9,0,0,0
m2_bass_snare9,0,1,0
m2_bass_snare9,0,0,0
m2_bass_snare9,0,0,1
m2_bass_snare9,0,0,0
m2_bass_snare9,0,0,0
m2_bass_snare9,0,0,0
m2_bass_snare9,0,0,1
m2_bass_snare9,0,0,0
